Name,Type,Latitude,Longitude,Address,Rating,Description,Photo URL,Google Maps Link
Cafe Glockenspiel GmbH,cafe,48.1370636,11.5746844,"Marienplatz 28, München-Altstadt-Lehel",4.5,"Café, restaurant & bar with views over Marienplatz, serving brunch, cakes & European hot dishes.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN0WEoPWuDVQC9gMMmTQJy3t_vB37SJj-BI_oKWb438eehglWw_ES8lBZjLt9xxtSqzMfZyBMhLoeNZuw30obNVuKj2IENQUIPScueCXcqMjgtD57-wDwFJ0ReEwk1Ca9xduXqD9vf1jNHHLHjHL29PNEumWYnj_8r7V5mFKjHm-FuMMOk-K1H_XY4CHr-zFmk58LkuFWhkTrrXioLI32AhEULlzgVwWsXyNH27HmgjthsZiMnDcLpgi-HZS9AQtXzDmWWiaOj2X7qcgMqWEmj4QHVb6sU_9F3ixmdQLlhv1zBl0OSR3xyMgUeRstjtCyK_mKije2CHiCriF-5ofit9kiE0WgzBkNuP7XBDkiy7y4Qnm67wzIzHpZlQ5Iaks7BcC5wnErw3eMMiWMtcrmLFdcIMAuXDV4nKDMPJqMkpsdv5q7YeJkNt-SMaE7Vp-I1xEoH6CieQcJy6oQLQpaOPDgNCI8J1OaEdwgUr1vIhRl7HpqMo4_HBMT4Ep4h7MaWq6Se-_-YinfZDxBSYlugqpc5gBxK269c3QQsPArRq2V16D55AKfhFqelinW1Ijskd5AcR2ZU4PS-rg7uDnzv_b_53yV-4OgPwv9BkCcRMnfYO8yxwWyGWqCwvm4tMP&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJiZb2KvV1nkcR88LC6TMVAR0
TAVERNE DIOGENIS / since 1987,cafe,48.137536,11.5667027,"Herzog-Wilhelm-Straße 7, München-Altstadt-Lehel",4.5,"Classic & vegan pizzas baked in a stone oven, plus pasta, salads & cocktails, in a casual ambience.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN1QI3-31Fl2VMaXjPRRvIxH_9V5W430UxIRck5UkDZS8L8yAY-DQ6V1e1a2_Grj4ZH7RXLndOW3d2hP5xQw86O4On4GBDNy51tEK4mW4reZ6-cKJwDte7FW-phX1tIRQ9uATYFhJ8ED0p9HL5PsGtSR8osoeECj3efb3xgIfjNbl14HA6iAWAvsAjn5OUGLMF_-PBGJuaahi0gQPrVJB7jbAsGEXX3Xz1AS4A15-Yxj9w7ljWxSUNdikOLM4ikvMlwljAFNj3ecJtwu18Pe3m2Ln7MGDOo2PgYuNoH8X-VQWB_fLEiRP83tfV0rq_BOh61rVZpQN1A&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJBVziQfZ1nkcR9MR6pEwV3Vo
Café Salvatorplatz,cafe,48.1420346,11.5754212,"Salvatorplatz 2, München",3.9,Cafe. Rating: 3.9.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN3oVeS9a6mVGiw3wkhpnPuYNQEUic_gOh5G8iCCf6g7UxYwtdMRqF_WVY6ixZXq0zHzd17B6RqHn0u4vH6xEg9cbkKfMeqnA-m--WlIISjjD6I0mKutvLHc-oXrDtEARBo9tFFMiRMo9RYITZoRZDLHqBt9rVecoYHJc0k0BNOL7kZkZb6o1ZjKVJebIqd_mlW-LUo78KFIKWFRBs7TwbShaMOu7H6i_Zwzwwm4VGe9ymSD-Wo1mz2uOJCmQ_wHfloBcOVcYxBiAQV6yWDkSVGspI1uBEomW8_Anm0TsOiLgRFGjtaljxL65-MFVfB8gHu7rahRSfrJFwWraW_AFpjrT2PJXKuBfsEUJUYFN83zxSVCVbvX8x68ExVhnGGd1LUvgWKVcRTg_i31-ufSmWZGDiJCtrMN59RpciN5S1krsIVdHG_wNad9w9ysNTZhJbGIkJTO4UDSXoTCwx8tB-cudtuMqgermLD81rAvtLiYCPXGdOG8z315SaLXR_c3O07D0-r4dQ_QUDcP35Vu4kniEu_d-nXfJqTNtxNI0Sugff9yfDOAPQgIguBCBZBsfvp4jWQu3D0yu_YzNY5oOv_-18dGjsVSUUjK3a4-Bpk2524RTSivXgSwJ1JKKQrMh7H3vw&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJz4e5PfN1nkcRa4kxO0YhwEE
Barista,cafe,48.1405901,11.5745159,"Kardinal-Faulhaber-Straße 11, München-Altstadt-Lehel",4.2,"Elegantly plated meals, plus cocktails & espresso, in a stately setting with outdoor tables.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN3oa9R_b9HD-YXwZLwA7nQh60yziGePmIK-KLondZYiKMWOiXqKpwvP647QWq8lQ9uIgHYH4CyYcLEO_4BYvJG4h7xQcI6gv3yBgtL14E62fB7BNfS6I5TlVSRQyRmYFGk4wcfZ3YcD7iOzLx8932zRtpQLA1YE0cxX-ijmrPnQ19HlnzLPEwVgU6tLIRptBuHjmLR8diIWQneo7e_wIaRmGPLRC-5L7uua5Oa8JwKv9AUP8uIa7tAdojuEH2VjBoI1IWKbAL--foKNSm4SpqwgOMVgVyN-A-_86ThjvGR4pyWITP1P5r7myWQ31tk6jueaeltxx7E&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJl-jkaPN1nkcRZ4Lj9qT3_Tg
aran,cafe,48.140756,11.5763692,"Theatinerstraße 12, München-Altstadt-Lehel",4.4,Cafe. Rating: 4.4.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN3xUC6kbh4zoOkxBvYjJBpLxvg7s-v6yAEKBmWIAuerIXqh43-ZXgSIu86UPYJshTsGiuFoyhXRjBQQz34F8PhMH68WWWsV4fCKt6dz83EVSkcs4BJRaVyvlUk6rPuvYLuLlviLjZ7-mqudttC_nT6HxurWaT9e72st6JEzuCQoYM4hvyDPWxIE8cPD7g2as5sX4xr1BiouE020Hmo0uGsxK79I4qSJrk73gGKwl6UffOpS_zYu_T_X-Sb1yJdTpQnUMIFmWjx7srIwYH3vTN9_qTWj4kfoDxicKk6ltoeHXrES7xzFh0vMSPfqRNJGAxmhQVrPBOAMOrSAFQ35PwdjSA0XtvxbS76rjAbcyphIgY2vf4M22If4DtzumeIjs2bvNYETw6JqzGCn3vFT1govNzPSJW7XpMpR20qZIVRrsJO4o0wbsIBkjEjVGtbh2UDWElPlE4k6CRQ_tGMHR3Pm0_8wd8Ozrm5h5CeyQqeSlGENGixta8eAbPiAnfjjXqSXagboM7lhyKwg5xt2nj220DXVN4RM5HuFk2jZdEc_clf9GuExRdE8LluprzaA5tBh1syNeOHAecuzbuYHaJwxfLEgCiK5KcgCpUlG7PKR6Ak0KkXHQeIr1JITh0sCIdN3YQ&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJXdMIS_N1nkcR9GswMNBDq1s
The Victorian House Brown's Tea Bar,cafe,48.149877,11.5758278,"Türkenstraße 60, München-Maxvorstadt",4.5,Cafe. Rating: 4.5.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN1-l6u0jU3O9JXqwfuig2Shmn4HiyonHpCqb_TYQmxIm5uxyTqk4_hdMIR0mZQOOW6pVzESYf1DGs025Su8D3cKXJGfJv69Vj6Vgp1839BbrX8rbv7dgPguMeVZEHXqnlnrPwNNx6FsZXOBDzp5QK0-GK4uMUzOhx-ZIH_wvBE43EJh6VjiQdBf65__CLBMX1VWvtjosJK27iIB12f6UWEFlq4zvmHSDxQeVg5G6t34j75AQLHoALdq4QfCjlw21_Gkgmt2HXytmphVHG3PzbRpMDQN318SnMe8fhQAQXqVHETEaqpVTZkzlXuKG0eaDRBy_AZpx1o&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJwX6uiet1nkcRKjPu2u26SQI
Schelling-Salon,cafe,48.1512451,11.5731707,"Schellingstraße 54, München-Maxvorstadt",3.7,"Viennese-style cafe dating from 1872 with Bavarian fare & beer, plus games like chess & billiards.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN2wKI7qCxPPzLV9Pm6CNrbvUnvOFLyb2h7Hq3Tdctnbme8YJynkfu60KUmQq4mrT68g9AwnhtUJQUljMtO1VCU1udSwvdlcsABPiBusSd4EeaH701kRjfWVDdLZ9ZIP49zn3MK0hUDDIB2Medbd1x6z6Yqvd7QMtomKMZV19YbbRgBaEkY8i0QKpA2yOIDRocxOYumkVWnVDcnraMu1whIfice7UOWLQbgP7NvU-_4UwpBshJ5myrsZCa0vgXMVDEnhjHa5fMu9w9dYej69MwS1dCVWRV28kqbxVYGu8G7BUDTpdZz8n7CQd0mWA7VuVW0hXcNZRRniVZb4s7RxboKR85zjNrVJjBUsDVlr6XvqpR2WZnYC8xmNH1syt5hx-svTV8sIFXwpvAOj5IPXfHR7NXwdzMVc2A4NjCCSI-MsUdjcXL1pHGvqxikEvgev7OCF4NIOMSX-gUHxn3neIpYVtKPxE-SYjxeppVF_gql2cTDYMf5uCR43isuMrbPfMZ58UR0POmKGOzjtjWfdxoQoXLasw6wqtgyDNQF3Dgw6Ma0d71Yt1ldaPTFiRL5xXTvRxJSMEWmrccEOvnBBRsyuoLAstUfLZJohRDclrbPlxTgsTnQMbKO7Hqnf-9FZ2vKdBg&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJKT6xQul1nkcR0KyF2rTmeIo
La Vecchia Masseria,cafe,48.13475,11.5635769,"Mathildenstraße 3, München-Ludwigsvorstadt-Isarvorstadt",4.1,"Rustic Italian restaurant offering a range of pasta, fish & meat dishes, plus a long pizza menu.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN0BZC6c35R48kSERHhhAr4kttAWHo_D9D_6eIYRxCmIcnMPRbKIrhsD7hYmBCnLa7yujYeUdtmxs9i2WSDhS41xV1gPJlNf76FI9EYiX08GrwsC57qHiOmWoE1EWHpFkf_yXSfgfQBM1hf-AkCCja2mgr72Mg8dGlT_A97VpjFzbbGf_5wUDRYu6cGvykcDBzhPTri-ihuwjCLlf_pnE6auOVRQyR68bHuFVl81NJ02BvlxRGNrPGOCM6TFrax_eDNmsn5Wr-eAvCR3gDHX0QFhjfzTgyLL9hA63I3FUh0FPhhrBzOJb1MoTcERy7O3ozu1JGzkoaLjFNGe74UhXtV3xzyAi24T8e33keGMqfluv4Z4GJxqF0yL4q-BEKw465LRSFPbf5jhBFsi3O-60NiapxHcd_zSpFu_Sj26uHIm1r9U1xU6Cw7vAdR0cQ_m424OBM5oaHlO1unuvAG7aEJcORDIVGrlGskASMaIrHZiwPtoYM8xqGPVdKHwirMVPjMhxuJ3iHwbehmD3tF4alUaF6bPPXoTptYLxivQ4pfUGFIUILmhdr-GMEFap6RH6rux4jCCYcUyNbNDxR8q9rB0OFm_4QCFbN42H7JjTRiIFZnKRuCegf1F2FDjMBafASo8zbdM&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJlU7TdVjfnUcREEIa-kQNbg4
DONUTS AND CANDIES,cafe,48.1549293,11.575242,"Georgenstraße 41, München-Maxvorstadt",4.6,Cafe. Rating: 4.6.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN0Xb2vR1pbZccSF4ADU1RJSC4HWogGX6SSMrvgSDns4BBFv_1C3D0mvufwnjLX_pDPdgAWspY_juTcfw8BIPlFXael82Sx4fNBzPDhORpJEKdzjfyYylCmWbJW7bdqQqFiPQpQpoQQhaLp19DOL6Z3taMrY9SnHia-r-yc-C_PwF5ukwOVQgJ9_wLKMMPqezIeXpYDKogZxvqyhVyDfNwcnB5tJ5QX9jzW8Z3jOgrS3AK1GFWkGkosd9D0V_nnSO1dGcWm2S5ZfHV_T6Q-eWOlbIGdg2yPwCY3LTL7lF1k-H74ZbE8BnXjCtP9dl35597ERYsNQcVU&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJ258xAcJ1nkcRJhptSmWZnlA
Café Reitschule,cafe,48.1554097,11.589154,"Königinstraße 34, München-Altstadt-Lehel",4.2,"Mexican, Moroccan & Mediterranean-inspired dishes at a riverside lounge & patio founded in 1927.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN1IZ5HF0kuTOahs2TvJBGtoa5T9JkpPpk-rOr8mC7I5RkJu5x7UK4KV2iHlHg-2KLYCS6wYSc87U1NMQgTozZGba33aI9zvPsWZBBiGJQvk7YWWsPazitNbLvmSuclMEY4d8rx23p3EyPAYRMnUyuJD78S5a7ZNdNKTIIMVgsi91IYN3V5j9V1YKSncLnSy1l55pSCz8vqP4qX-07yGkpkivAg3ECYX1TmRXiidYs3koZFHU9LxIo_YFKB-4dKkhtWLsn2kMCs8j_xnw6YpRvZvrov9bSRJbrdySq_PMunKeiywgRJM5Gk58pdwGDUR5xAWFSTesUo&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJ8xGTeL51nkcRsD1HzVMqA_4
Ella - Restaurant & Café am Königsplatz,cafe,48.1467138,11.5633428,"Luisenstraße 33, München-Maxvorstadt",4,Bright museum restaurant with Italian-inspired fare & views of the imposing Propylaea city gate.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN0pqfXWagp9aQ3ij_1Hnzkp-RyVABn7oU7JokbL6U-BVTzauFLhiBOhlfLzXzeKsdfOyRpe6lT0fDhVbrAgGrYResHyilpWuTGrNUinEQix9o9CJHQSsH5J0hO7234qsegxBrKl6yEMIye1-UaaArXjKFw2EmWW_DbB1apo88qwjqAp8mt5d0cpy4bH10466y4eY8iGhGwOUGZojmtbcwtWKNyxXS2IB1K4-hnJ5HqeFoIjpsutFKQBao5Aki9DT0GdG-Ci5CMVRanF71pZ_taN4berG5QdlDXnMIdk77AG92TeTxKF738RKRQqY6H1gtoEEl4G3JlyG_v4vMVPyo2RTeka79Nr7Ph54InW5Uf1NbI9ICswEzV2wq5fa7qSSt5CYAKCTEpK0Ybt2pn666d9whhRlIYE7YUp8SFuekC4dOyFzMCq0EVKpaUcPCXi2SCYc3I9Rd2p0njqR-r1gy8djL94DNdDqE2KZ4o-YodaH1N_Lts9CeYzrRMxRtwGCVV_G-ozqWgWCT1Kg16_bb6XLl1TzPaQYzupaDBRuONWc-jlUgRD2svqSjyGBBFlmkcl-v7PoIjlIy2gQBBH_kU3LLahL1zAO3ZwjCFjOgfAgQFC8Tga-YwVXGEElnWdDZDJHQ&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJV7JhPeV1nkcR_zNAlkH_ivg
